nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
0 1759217578.7506068 0.09040260314941406
1 1759217578.8147974 0.06404876708984375
2 1759217578.877884 0.0629415512084961
3 1759217578.940797 0.06279373168945312
4 1759217579.02583 0.08491992950439453
5 1759217579.118274 0.09232091903686523
6 1759217579.2041264 0.08577728271484375
7 1759217579.2998576 0.09561824798583984
8 1759217579.3763018 0.0763711929321289
9 1759217579.4530127 0.07662725448608398
10 1759217579.523887 0.0708150863647461
11 1759217579.5920148 0.06807112693786621
12 1759217579.6594691 0.06739616394042969
13 1759217579.7290192 0.06948208808898926
14 1759217579.7967832 0.06770563125610352
15 1759217579.884285 0.08744573593139648
16 1759217579.9614313 0.0770573616027832
17 1759217580.0391793 0.0776374340057373
18 1759217580.106723 0.06745314598083496
19 1759217580.221139 0.11431097984313965
20 1759217580.3096855 0.0883796215057373
21 1759217580.3896554 0.07989859580993652
22 1759217580.4654996 0.07575345039367676
23 1759217580.540034 0.07443952560424805
24 1759217580.6281393 0.0880281925201416
25 1759217580.711631 0.08336019515991211
26 1759217580.7956834 0.08395957946777344
27 1759217580.9194567 0.12370729446411133
28 1759217580.989464 0.06988215446472168
29 1759217581.0637157 0.07411813735961914
30 1759217581.1502194 0.08642458915710449
31 1759217581.2227535 0.07245779037475586
32 1759217581.300382 0.07752704620361328
33 1759217581.3742845 0.07381129264831543
34 1759217581.4507449 0.07633328437805176
35 1759217581.540348 0.08949565887451172
36 1759217581.6062765 0.06584358215332031
37 1759217581.6814637 0.07509469985961914
38 1759217581.7721114 0.09053897857666016
39 1759217581.8539696 0.08172392845153809
40 1759217581.9316735 0.07763338088989258
41 1759217581.9995086 0.06770443916320801
42 1759217582.0874107 0.08779168128967285
43 1759217582.161385 0.07388949394226074
44 1759217582.2530775 0.09161210060119629
45 1759217582.3436549 0.09039616584777832
46 1759217582.409726 0.0659644603729248
47 1759217582.4871144 0.07727241516113281
48 1759217582.5511162 0.0638878345489502
49 1759217582.700514 0.1492762565612793
50 1759217582.7743847 0.07375836372375488
51 1759217582.8544571 0.07994556427001953
52 1759217582.9267468 0.07214617729187012
53 1759217583.0113 0.08441543579101562
54 1759217583.0840824 0.07271671295166016
55 1759217583.160542 0.07637906074523926
56 1759217583.2378407 0.07720327377319336
57 1759217583.3081923 0.07027196884155273
58 1759217583.3823526 0.07408595085144043
59 1759217583.47112 0.08865809440612793
60 1759217583.5402882 0.06904840469360352
61 1759217583.611642 0.07122659683227539
62 1759217583.6827455 0.07098054885864258
63 1759217583.7585409 0.07567119598388672
64 1759217583.817754 0.05908966064453125
65 1759217583.8845274 0.06665849685668945
66 1759217583.9556656 0.07102179527282715
67 1759217584.0303316 0.07454848289489746
68 1759217584.092489 0.062082529067993164
69 1759217584.1637058 0.0711374282836914
70 1759217584.2339594 0.07017731666564941
71 1759217584.3198671 0.08581757545471191
72 1759217584.3915095 0.0715632438659668
73 1759217584.4766247 0.08497476577758789
74 1759217584.540085 0.06340146064758301
75 1759217584.604286 0.06406831741333008
76 1759217584.7105439 0.10614180564880371
