Using Bao: True
python3 baoctl.py --train_mode retrain --dataset job-light-ranges --repeat 0 --alpha 0.5 --train_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt
0 1759417461.5169487 10.98508334159851
1 1759417469.2273395 7.710261583328247
2 1759417471.1456423 1.918210506439209
3 1759417494.3258655 23.18014407157898
4 1759417494.9154036 0.5894167423248291
5 1759417510.185978 15.270408868789673
6 1759417511.377802 1.1917073726654053
7 1759417548.345681 36.96775507926941
8 1759417554.1745143 5.8287060260772705
9 1759417554.8571079 0.6825284957885742
10 1759417555.9247746 1.0675249099731445
11 1759417557.0677464 1.14280104637146
12 1759417557.7818942 0.7140600681304932
13 1759417559.4918706 1.7098815441131592
14 1759417560.3562603 0.8642542362213135
15 1759417561.0711277 0.7147095203399658
16 1759417562.3545387 1.2832062244415283
17 1759417564.6536632 2.298983335494995
18 1759417564.8694248 0.21567535400390625
19 1759417565.4892693 0.6197283267974854
20 1759417565.9781954 0.4888017177581787
21 1759417566.820118 0.8417990207672119
22 1759417572.4574182 5.637100696563721
23 1759417573.023014 0.5654432773590088
24 1759417577.9515042 4.928408622741699
25 1759417581.2020144 3.2503645420074463
26 1759417582.0089228 0.8067762851715088
27 1759417584.8986177 2.8895623683929443
28 1759417587.1617572 2.262960910797119
29 1759417589.4788136 2.316922426223755
30 1759417594.1976702 4.7187180519104
31 1759417596.2336843 2.03593111038208
32 1759417597.2227392 0.9889371395111084
33 1759417601.2725916 4.049713134765625
34 1759417602.585624 1.3129119873046875
35 1759417606.832622 4.246875286102295
36 1759417607.4075305 0.5747721195220947
37 1759417608.4280758 1.0204131603240967
38 1759417609.2707443 0.842479944229126
39 1759417609.8050885 0.5342655181884766
40 1759417613.2429547 3.4376864433288574
41 1759417616.595553 3.3525211811065674
42 1759417618.0308487 1.435180902481079
43 1759417618.6011996 0.5702757835388184
44 1759417621.5689478 2.9676740169525146
45 1759417622.3134744 0.7444071769714355
46 1759417623.4697583 1.1561744213104248
47 1759417624.5055904 1.0356910228729248
