Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt
0 1759268838.7767515 0.09542274475097656
1 1759268838.8384066 0.06155061721801758
2 1759268838.8988287 0.06028485298156738
3 1759268838.9593625 0.060430049896240234
4 1759268839.030887 0.07141804695129395
5 1759268839.093777 0.06279277801513672
6 1759268839.1533513 0.05948042869567871
7 1759268839.2200384 0.06659555435180664
8 1759268839.2854393 0.06528162956237793
9 1759268839.353081 0.06754350662231445
10 1759268839.423441 0.07020092010498047
11 1759268839.4886916 0.0651543140411377
12 1759268839.5505521 0.06175875663757324
13 1759268839.6217308 0.07107186317443848
14 1759268839.6877 0.06586599349975586
15 1759268839.7566428 0.0688314437866211
16 1759268839.817206 0.06045126914978027
17 1759268839.875886 0.0585634708404541
18 1759268839.9390655 0.06308841705322266
19 1759268840.0547073 0.11550045013427734
20 1759268840.121909 0.06709933280944824
21 1759268840.186045 0.06403565406799316
22 1759268840.2473927 0.061254262924194336
23 1759268840.306746 0.059223175048828125
24 1759268840.3657598 0.05891299247741699
25 1759268840.4241774 0.05827140808105469
26 1759268840.4867954 0.06251335144042969
27 1759268840.5840952 0.0971975326538086
28 1759268840.668658 0.08439397811889648
29 1759268840.7313135 0.06255984306335449
30 1759268840.8186276 0.08721590042114258
31 1759268840.8993177 0.08055615425109863
32 1759268840.96873 0.0692746639251709
33 1759268841.0288563 0.060033321380615234
34 1759268841.0943182 0.06535696983337402
35 1759268841.1763082 0.08188152313232422
36 1759268841.2380297 0.061614990234375
37 1759268841.2985964 0.060471296310424805
38 1759268841.3589227 0.06022834777832031
39 1759268841.4312165 0.07220077514648438
40 1759268841.4909883 0.059673309326171875
41 1759268841.5503025 0.05922555923461914
42 1759268841.6145558 0.06416487693786621
43 1759268841.6703234 0.05565834045410156
44 1759268841.7460408 0.07561254501342773
45 1759268841.8049707 0.05883312225341797
46 1759268841.8642385 0.05916786193847656
47 1759268841.9279726 0.0636439323425293
48 1759268841.9894578 0.0613865852355957
49 1759268842.1388018 0.14923405647277832
50 1759268842.2032611 0.06435728073120117
51 1759268842.2714381 0.06807899475097656
52 1759268842.33636 0.06482934951782227
