Using Bao: True
python3 baoctl.py --train_mode retrain --dataset job-light-ranges --repeat 0 --alpha 0.5 --train_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive --meta
0 1759594172.4706604 6.968245506286621
1 1759594178.120325 5.649534702301025
2 1759594179.3809988 1.260563850402832
3 1759594199.284088 19.903021335601807
4 1759594199.7216027 0.43735575675964355
5 1759594208.451809 8.730086088180542
6 1759594209.1534514 0.7015314102172852
7 1759594232.4056482 23.252029418945312
8 1759594235.498446 3.0926570892333984
9 1759594236.130221 0.6316447257995605
10 1759594236.8663518 0.7360329627990723
11 1759594237.99724 1.1307778358459473
12 1759594238.3854985 0.3881101608276367
13 1759594239.982015 1.5963804721832275
14 1759594240.4431982 0.46105504035949707
15 1759594240.9826107 0.5393393039703369
16 1759594241.99998 1.0173053741455078
17 1759594243.7842247 1.7841722965240479
18 1759594243.9645603 0.1802513599395752
19 1759594244.552283 0.5876047611236572
20 1759594244.9557083 0.4033207893371582
21 1759594245.546266 0.5904898643493652
22 1759594249.9237895 4.377423524856567
23 1759594250.3653471 0.44144201278686523
24 1759594254.040448 3.675023317337036
25 1759594255.2149084 1.1743090152740479
26 1759594255.7789826 0.5640051364898682
27 1759594257.9781373 2.1990349292755127
28 1759594259.7586133 1.7803394794464111
29 1759594261.5350077 1.7763285636901855
30 1759594265.7515917 4.2165210247039795
31 1759594267.3677793 1.6161150932312012
32 1759594268.1860557 0.8181040287017822
33 1759594270.6654558 2.4793190956115723
34 1759594271.4228086 0.7571675777435303
