Using Bao: True
python3 baoctl.py --train_mode retrain --dataset job-light-ranges --repeat 0 --alpha 0.5 --train_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
0 1759498678.6621995 6.887943983078003
1 1759498687.4087632 8.746463298797607
2 1759498688.5080717 1.0991766452789307
3 1759498709.1652422 20.656988859176636
4 1759498709.636816 0.47144126892089844
5 1759498718.826358 9.189408302307129
6 1759498719.5703907 0.7439212799072266
7 1759498744.3865001 24.815985441207886
8 1759498747.973353 3.5867626667022705
9 1759498748.6867523 0.7132766246795654
10 1759498749.4614325 0.7745921611785889
11 1759498750.532691 1.0711288452148438
12 1759498750.9300945 0.3972747325897217
13 1759498752.8623495 1.932100772857666
14 1759498753.379895 0.5174214839935303
15 1759498753.987673 0.6077027320861816
16 1759498755.1130476 1.1252343654632568
17 1759498757.3227422 2.2095303535461426
18 1759498757.495755 0.172926664352417
19 1759498758.0857315 0.5898418426513672
20 1759498758.6257312 0.5398726463317871
21 1759498759.319734 0.6938736438751221
22 1759498763.851316 4.531472444534302
23 1759498764.2721014 0.42070960998535156
24 1759498767.963859 3.691581964492798
25 1759498769.1732602 1.209272861480713
26 1759498769.8047411 0.6313381195068359
27 1759498772.3691952 2.564333200454712
28 1759498774.3408825 1.9716150760650635
29 1759498776.423118 2.0821030139923096
30 1759498780.9393709 4.516074180603027
31 1759498782.914109 1.9746291637420654
32 1759498783.859672 0.945375919342041
33 1759498786.7768202 2.917008876800537
34 1759498787.6884341 0.9114866256713867
35 1759498791.7110748 4.022468328475952
36 1759498792.2593794 0.5481181144714355
37 1759498793.1083553 0.8488256931304932
38 1759498793.6061363 0.49770569801330566
39 1759498794.109261 0.5029458999633789
40 1759498797.0094898 2.900071620941162
41 1759498799.7933457 2.78372859954834
42 1759498800.966535 1.1730375289916992
43 1759498801.4139113 0.4472348690032959
44 1759498804.0632558 2.6491987705230713
45 1759498804.6257913 0.5624160766601562
46 1759498805.7077389 1.0818345546722412
47 1759498806.4788086 0.7709965705871582
48 1759498808.3719106 1.893005132675171
49 1759498808.8420923 0.4700608253479004
50 1759498809.8446188 1.0023374557495117
51 1759498810.5640588 0.71929931640625
52 1759498810.8050282 0.24080133438110352
53 1759498813.1836286 2.378490447998047
54 1759498816.2248337 3.041116714477539
55 1759498817.0582147 0.8332290649414062
56 1759498818.9933658 1.9350345134735107
57 1759498821.860122 2.8666443824768066
58 1759498823.6443381 1.784083366394043
59 1759498828.1405187 4.496011734008789
60 1759498828.4973555 0.3567690849304199
61 1759498830.370461 1.8729913234710693
62 1759498830.7421353 0.37158632278442383
63 1759498833.7374196 2.9951648712158203
64 1759498834.137326 0.39978790283203125
65 1759498836.4484754 2.311034917831421
66 1759498837.638127 1.1895344257354736
67 1759498838.8067818 1.1684935092926025
68 1759498839.2339783 0.42706918716430664
69 1759498839.597101 0.36299610137939453
70 1759498840.4115267 0.8142309188842773
71 1759498842.1603115 1.748664379119873
72 1759498844.460548 2.3001160621643066
73 1759498846.182443 1.7217497825622559
74 1759498847.765342 1.5827274322509766
75 1759498848.5406246 0.7752065658569336
76 1759498849.1355085 0.5947563648223877
77 1759498850.0493546 0.9137077331542969
78 1759498853.2292497 3.1797828674316406
79 1759498855.939689 2.710369825363159
80 1759498856.673235 0.7334473133087158
81 1759498857.2423217 0.5689687728881836
82 1759498858.1699255 0.9274876117706299
83 1759498858.622755 0.4526946544647217
84 1759498859.1385553 0.5156705379486084
85 1759498859.5031378 0.3644382953643799
86 1759498859.8855696 0.38227367401123047
87 1759498860.6297228 0.744037389755249
88 1759498862.5219197 1.8920655250549316
89 1759498865.7318773 3.209834098815918
90 1759498867.4709263 1.7388687133789062
91 1759498868.4929912 1.0219271183013916
92 1759498868.6760745 0.18295955657958984
93 1759498871.1709986 2.494795799255371
94 1759498871.7665157 0.595381498336792
95 1759498876.4615912 4.694951057434082
96 1759498878.3953767 1.9337091445922852
97 1759498881.9163256 3.5208263397216797
98 1759498882.5246577 0.6082098484039307
99 1759498883.3748045 0.8500714302062988
100 1759498885.8975875 2.522669553756714
101 1759498886.897342 0.9996416568756104
102 1759498888.9718122 2.0743470191955566
103 1759498892.5114515 3.5395638942718506
104 1759498893.3837798 0.8721601963043213
105 1759498895.2705882 1.8866665363311768
106 1759498895.8056448 0.5348904132843018
107 1759498898.1401043 2.334329843521118
108 1759498898.7179525 0.5776879787445068
109 1759498901.3136578 2.5955543518066406
110 1759498902.7874877 1.4737601280212402
111 1759498905.8639128 3.0763356685638428
112 1759498906.4283793 0.564361572265625
113 1759498908.4814856 2.0529556274414062
114 1759498909.1727026 0.6911194324493408
115 1759498910.0867603 0.9139013290405273
116 1759498911.928469 1.8415842056274414
117 1759498912.4982827 0.5697031021118164
118 1759498913.8226926 1.3243379592895508
119 1759498914.5341346 0.711367130279541
120 1759498915.5867121 1.0524461269378662
121 1759498916.5928862 1.00608229637146
122 1759498917.741956 1.1489593982696533
123 1759498920.3949046 2.652874231338501
124 1759498922.6486742 2.253655195236206
125 1759498925.1633754 2.514551877975464
126 1759498925.4061122 0.24258852005004883
127 1759498926.1835701 0.7772572040557861
128 1759498926.9426267 0.7589411735534668
129 1759498927.784564 0.8418252468109131
130 1759498928.3116198 0.5269367694854736
131 1759498928.740879 0.4291825294494629
132 1759498931.0075078 2.266514778137207
133 1759498931.256063 0.24844956398010254
134 1759498932.0216408 0.7654101848602295
